condition,method,n,reference_value,relative_error,scan_type,speed_m_s,value
1,quad_angle,180,2.7126200325212252e-21,0.0034612210133073557,rhores,100.0,2.722009009978906e-21
1,quad_angle,360,2.7126200325212252e-21,0.000870869340477302,rhores,100.0,2.7149823701399125e-21
1,quad_angle,720,2.7126200325212252e-21,0.00021806668545986055,rhores,100.0,2.713211564580629e-21
1,quad_angle,1440,2.7126200325212252e-21,5.4538530700018184e-05,rhores,100.0,2.7127679748321464e-21
1,quad_angle,2880,2.7126200325212252e-21,1.3635999213158562e-05,rhores,100.0,2.7126570218058543e-21
1,vectorized,45,2.7126200325212252e-21,0.048770265419095585,vectorized,100.0,2.844915231488441e-21
1,vectorized,90,2.7126200325212252e-21,0.013495203802493798,vectorized,100.0,2.7492273926988265e-21
1,vectorized,180,2.7126200325212252e-21,0.0034612210132951527,vectorized,100.0,2.722009009978873e-21
1,vectorized,360,2.7126200325212252e-21,0.0008708693405573145,vectorized,100.0,2.7149823701401295e-21
1,vectorized,720,2.7126200325212252e-21,0.0002180666853805415,vectorized,100.0,2.713211564580414e-21
1,vectorized,1440,2.7126200325212252e-21,5.453853068171378e-05,vectorized,100.0,2.7127679748320967e-21
1,vectorized,2880,2.7126200325212252e-21,1.3635999176827101e-05,vectorized,100.0,2.7126570218057557e-21
1,quad_impact,45,2.6041154564274735e-21,1.0289530109578168e-08,dphires,10000.0,2.604115483222598e-21
1,quad_impact,90,2.6041154564274735e-21,2.5724917658817207e-09,dphires,10000.0,2.604115463126539e-21
1,quad_impact,180,2.6041154564274735e-21,6.432537026479754e-10,dphires,10000.0,2.6041154581025804e-21
1,quad_impact,360,2.6041154564274735e-21,1.6090681102657048e-10,dphires,10000.0,2.6041154568464934e-21
1,quad_impact,720,2.6041154564274735e-21,4.0269098123236964e-11,dphires,10000.0,2.604115456532339e-21
1,quad_impact,1440,2.6041154564274735e-21,9.740967433239858e-12,dphires,10000.0,2.60411545645284e-21
1,quad_impact,2880,2.6041154564274735e-21,2.626490462640138e-12,dphires,10000.0,2.604115456434313e-21
1,quad_angle,45,2.6041154564274735e-21,0.046065756313672136,rhores,10000.0,2.7240760044559286e-21
1,quad_angle,90,2.6041154564274735e-21,0.012524315900819951,rhores,10000.0,2.636730221045979e-21
1,quad_angle,180,2.6041154564274735e-21,0.003196734897386552,rhores,10000.0,2.612440123183859e-21
1,quad_angle,360,2.6041154564274735e-21,0.0008033283625153636,rhores,10000.0,2.6062074162328863e-21
1,quad_angle,720,2.6041154564274735e-21,0.00020109177070046227,rhores,10000.0,2.604639122615715e-21
1,quad_angle,1440,2.6041154564274735e-21,5.0289182808877335e-05,rhores,10000.0,2.6042464152657172e-21
1,quad_angle,2880,2.6041154564274735e-21,1.257331096789702e-05,rhores,10000.0,2.6041481987809035e-21
1,vectorized,45,2.6041154564274735e-21,0.04606576725568803,vectorized,10000.0,2.7240760329502013e-21
1,vectorized,90,2.6041154564274735e-21,0.01252431848744418,vectorized,10000.0,2.6367302277818472e-21
1,vectorized,180,2.6041154564274735e-21,0.003196735540739924,vectorized,10000.0,2.6124401248592254e-21
1,vectorized,360,2.6041154564274735e-21,0.0008033285232690602,vectorized,10000.0,2.6062074166515075e-21
1,vectorized,720,2.6041154564274735e-21,0.00020109181097216047,vectorized,10000.0,2.604639122720587e-21
1,vectorized,1440,2.6041154564274735e-21,5.0289192730693146e-05,vectorized,10000.0,2.6042464152915547e-21
1,vectorized,2880,2.6041154564274735e-21,1.2573313532130573e-05,vectorized,10000.0,2.604148198787581e-21
1,quad_impact,45,1.3640832188865595e-22,5.51793052369273e-05,dphires,200000.0,1.364158488050863e-22
1,quad_impact,90,1.3640832188865595e-22,1.3797704624509866e-05,dphires,200000.0,1.364102040103897e-22
1,quad_impact,180,1.3640832188865595e-22,3.449605265934507e-06,dphires,200000.0,1.3640879244352145e-22
1,quad_impact,360,1.3640832188865595e-22,8.624124250462078e-07,dphires,200000.0,1.3640843952888762e-22
1,quad_impact,720,1.3640832188865595e-22,2.1560372999388686e-07,dphires,200000.0,1.3640835129879895e-22
1,quad_impact,1440,1.3640832188865595e-22,5.3900686642109254e-08,dphires,200000.0,1.3640832924115816e-22
1,quad_impact,2880,1.3640832188865595e-22,1.3475135768773032e-08,dphires,200000.0,1.364083237267766e-22
1,quad_angle,45,1.3640832188865595e-22,0.0016197836566154943,rhores,200000.0,1.3662927385907754e-22
1,quad_angle,90,1.3640832188865595e-22,0.0004056985561461219,rhores,200000.0,1.364636625478925e-22
1,quad_angle,180,1.3640832188865595e-22,0.00010146804873742588,rhores,200000.0,1.3642216297490953e-22
1,quad_angle,360,1.3640832188865595e-22,2.536967070551144e-05,rhores,200000.0,1.3641178252286375e-22
1,quad_angle,720,1.3640832188865595e-22,6.342582943127369e-06,rhores,200000.0,1.3640918706975166e-22
1,quad_angle,1440,1.3640832188865595e-22,1.5856560087085498e-06,rhores,200000.0,1.3640853818533119e-22
1,quad_angle,2880,1.3640832188865595e-22,3.964146028146581e-07,rhores,200000.0,1.3640837596290669e-22
1,vectorized,45,1.3640832188865595e-22,0.0016749778835248165,vectorized,200000.0,1.3663680281094818e-22
1,vectorized,90,1.3640832188865595e-22,0.00041949649346036485,vectorized,200000.0,1.3646554470136705e-22
1,vectorized,180,1.3640832188865595e-22,0.00010491765771559326,vectorized,200000.0,1.3642263353028142e-22
1,vectorized,360,1.3640832188865595e-22,2.6232083255683284e-05,vectorized,200000.0,1.364119001631125e-22
1,vectorized,720,1.3640832188865595e-22,6.558186786699484e-06,vectorized,200000.0,1.3640921647991015e-22
1,vectorized,1440,1.3640832188865595e-22,1.6395570555608221e-06,vectorized,200000.0,1.3640854553788254e-22
1,vectorized,2880,1.3640832188865595e-22,4.0988986267497054e-07,vectorized,200000.0,1.3640837780104427e-22
2,quad_impact,45,5.8439469088411246e-18,5.141132799647356e-15,dphires,100.0,5.843946908841155e-18
2,quad_impact,90,5.8439469088411246e-18,1.3841511383665957e-14,dphires,100.0,5.843946908841044e-18
2,quad_impact,180,5.8439469088411246e-18,9.491322091656656e-15,dphires,100.0,5.84394690884118e-18
2,quad_impact,360,5.8439469088411246e-18,5.325686284762901e-14,dphires,100.0,5.843946908840813e-18
2,quad_impact,720,5.8439469088411246e-18,3.1822293790637733e-13,dphires,100.0,5.843946908839265e-18
2,quad_impact,1440,5.8439469088411246e-18,1.202234131609843e-13,dphires,100.0,5.843946908840422e-18
2,quad_impact,2880,5.8439469088411246e-18,7.77761115844087e-14,dphires,100.0,5.84394690884067e-18
2,quad_angle,45,5.8439469088411246e-18,0.04876779141228229,rhores,100.0,6.1289432927159404e-18
2,quad_angle,90,5.8439469088411246e-18,0.013494292214442406,rhores,100.0,5.922806836114714e-18
2,quad_angle,180,5.8439469088411246e-18,0.003460970997944153,rhores,100.0,5.864172639606149e-18
2,quad_angle,360,5.8439469088411246e-18,0.0008708053847711999,rhores,100.0,5.8490358492776605e-18
2,quad_angle,720,5.8439469088411246e-18,0.00021805060458855672,rhores,100.0,5.845221184997781e-18
2,quad_angle,1440,5.8439469088411246e-18,5.453450484197244e-05,rhores,100.0,5.844265605592121e-18
2,quad_angle,2880,5.8439469088411246e-18,1.3634992459020655e-05,rhores,100.0,5.8440265910131576e-18
2,vectorized,45,5.8439469088411246e-18,0.04876779141211962,vectorized,100.0,6.12894329271499e-18
2,vectorized,90,5.8439469088411246e-18,0.013494292214498695,vectorized,100.0,5.922806836115043e-18
2,vectorized,180,5.8439469088411246e-18,0.003460970997901442,vectorized,100.0,5.8641726396058995e-18
2,vectorized,360,5.8439469088411246e-18,0.0008708053849401982,vectorized,100.0,5.849035849278648e-18
2,vectorized,720,5.8439469088411246e-18,0.0002180506046369361,vectorized,100.0,5.8452211849980636e-18
2,vectorized,1440,5.8439469088411246e-18,5.453450502388945e-05,vectorized,100.0,5.844265605593184e-18
2,vectorized,2880,5.8439469088411246e-18,1.3634992454274993e-05,vectorized,100.0,5.84402659101313e-18
2,quad_impact,45,4.0324150629340825e-18,1.1856426615969488e-07,dphires,10000.0,4.032415541034415e-18
2,quad_impact,90,4.0324150629340825e-18,2.964122520264012e-08,dphires,10000.0,4.0324151824598055e-18
2,quad_impact,180,4.0324150629340825e-18,7.41029584095657e-09,dphires,10000.0,4.032415092815471e-18
2,quad_impact,360,4.0324150629340825e-18,1.8525472139654573e-09,dphires,10000.0,4.032415070404322e-18
2,quad_impact,720,4.0324150629340825e-18,4.629352034534619e-10,dphires,10000.0,4.0324150648008294e-18
2,quad_impact,1440,4.0324150629340825e-18,1.1557064859388556e-10,dphires,10000.0,4.032415063400111e-18
2,quad_impact,2880,4.0324150629340825e-18,2.8869163636590795e-11,dphires,10000.0,4.032415063050495e-18
2,quad_angle,45,4.0324150629340825e-18,0.029864554575585595,rhores,10000.0,4.152841342652491e-18
2,quad_angle,90,4.0324150629340825e-18,0.007672758631440223,rhores,10000.0,4.0633548104137596e-18
2,quad_angle,180,4.0324150629340825e-18,0.0019312221049026428,rhores,10000.0,4.040202552039763e-18
2,quad_angle,360,4.0324150629340825e-18,0.00048362197860273053,rhores,10000.0,4.034365227485366e-18
2,quad_angle,720,4.0324150629340825e-18,0.00012095655334207312,rhores,10000.0,4.03290280996174e-18
2,quad_angle,1440,4.0324150629340825e-18,3.0242329967497437e-05,rhores,10000.0,4.032537012560982e-18
2,quad_angle,2880,4.0324150629340825e-18,7.560781985738731e-06,rhores,10000.0,4.0324455511452494e-18
2,vectorized,45,4.0324150629340825e-18,0.02986467966697131,vectorized,10000.0,4.152841847072879e-18
2,vectorized,90,4.0324150629340825e-18,0.007672788393890236,vectorized,10000.0,4.063354930428311e-18
2,vectorized,180,4.0324150629340825e-18,0.0019312295172216483,vectorized,10000.0,4.04020258192931e-18
2,vectorized,360,4.0324150629340825e-18,0.000483623831301252,vectorized,10000.0,4.0343652349562156e-18
2,vectorized,720,4.0324150629340825e-18,0.00012095701639324077,vectorized,10000.0,4.032902811828954e-18
2,vectorized,1440,4.0324150629340825e-18,3.0242445791280405e-05,vectorized,10000.0,4.032537013028031e-18
2,vectorized,2880,4.0324150629340825e-18,7.560810923105365e-06,vectorized,10000.0,4.032445551261937e-18
2,quad_impact,45,1.9722308408466937e-21,0.0009345923220184212,dphires,200000.0,1.974074072647797e-21
