base_dphires,base_rhores,base_vres,bmax_over_aH,condition,density_g_cc,dphires,force_n,relative_error_vs_largest_bmax,resolution_scale_factor,resolution_scale_per_decade,resolution_scale_reference_bmax_over_aH,rhores,temperature_K,velocity_cm_s,velocity_index,velocity_m_s,vres
360,360,101,10000.0,0,1e-05,2734,1.8635222937806459e-13,0.0,7.59375,1.5,0.1,2734,5000.0,630957.344480193,4,6309.57344480193,767
360,360,101,10000.0,0,1e-05,2734,1.915823778797598e-13,0.0,7.59375,1.5,0.1,2734,5000.0,1000000.0,5,10000.0,767
360,360,101,10000.0,0,1e-05,2734,1.2093081724430625e-13,0.0,7.59375,1.5,0.1,2734,5000.0,1584893.1924611141,6,15848.93192461114,767
360,360,101,10000.0,0,1e-05,2734,4.7855611486923206e-14,0.0,7.59375,1.5,0.1,2734,5000.0,2511886.4315095823,7,25118.864315095823,767
360,360,101,10000.0,0,1e-05,2734,1.9537025046736254e-14,0.0,7.59375,1.5,0.1,2734,5000.0,3981071.705534969,8,39810.71705534969,767
360,360,101,10000.0,0,1e-05,2734,8.485451227283955e-15,0.0,7.59375,1.5,0.1,2734,5000.0,6309573.444801929,9,63095.73444801929,767
360,360,101,10000.0,0,1e-05,2734,3.717243870298934e-15,0.0,7.59375,1.5,0.1,2734,5000.0,10000000.0,10,100000.0,767
360,360,101,10000.0,0,1e-05,2734,1.5978690065722387e-15,0.0,7.59375,1.5,0.1,2734,5000.0,15848931.924611142,11,158489.3192461114,767
360,360,101,10000.0,0,1e-05,2734,6.673301962311269e-16,0.0,7.59375,1.5,0.1,2734,5000.0,25118864.315095823,12,251188.64315095823,767
360,360,101,10000.0,0,1e-05,2734,3.007893739726423e-16,0.0,7.59375,1.5,0.1,2734,5000.0,39810717.05534969,13,398107.1705534969,767
360,360,101,10000.0,0,1e-05,2734,2.046103415815234e-16,0.0,7.59375,1.5,0.1,2734,5000.0,63095734.44801943,14,630957.3444801943,767
360,360,101,10000.0,0,1e-05,2734,2.943555388522845e-16,0.0,7.59375,1.5,0.1,2734,5000.0,100000000.0,15,1000000.0,767
360,360,101,0.1,1,1.0,360,1.7187270336268475e-12,0.9924099758700929,1.0,1.5,0.1,360,5000.0,100000.0,0,1000.0,101
360,360,101,0.1,1,1.0,360,2.740515659878134e-12,0.9923771500677204,1.0,1.5,0.1,360,5000.0,158489.3192461114,1,1584.893192461114,101
360,360,101,0.1,1,1.0,360,4.405968499467978e-12,0.9923003782324957,1.0,1.5,0.1,360,5000.0,251188.6431509582,2,2511.886431509582,101
360,360,101,0.1,1,1.0,360,7.2290434518215414e-12,0.992110815099049,1.0,1.5,0.1,360,5000.0,398107.1705534969,3,3981.071705534969,101
360,360,101,0.1,1,1.0,360,1.2400647522585594e-11,0.9916575218641694,1.0,1.5,0.1,360,5000.0,630957.344480193,4,6309.57344480193,101
360,360,101,0.1,1,1.0,360,2.309747302277912e-11,0.9906314657887707,1.0,1.5,0.1,360,5000.0,1000000.0,5,10000.0,101
360,360,101,0.1,1,1.0,360,4.804456055474642e-11,0.9884883176542943,1.0,1.5,0.1,360,5000.0,1584893.1924611141,6,15848.93192461114,101
360,360,101,0.1,1,1.0,360,1.0955911882120168e-10,0.9843120421655037,1.0,1.5,0.1,360,5000.0,2511886.4315095823,7,25118.864315095823,101
360,360,101,0.1,1,1.0,360,2.6103074082418815e-10,0.9763902371589046,1.0,1.5,0.1,360,5000.0,3981071.705534969,8,39810.71705534969,101
360,360,101,0.1,1,1.0,360,6.233956724179348e-10,0.9610938122045393,1.0,1.5,0.1,360,5000.0,6309573.444801929,9,63095.73444801929,101
360,360,101,0.1,1,1.0,360,1.4306423748385737e-09,0.9305294086956153,1.0,1.5,0.1,360,5000.0,10000000.0,10,100000.0,101
360,360,101,0.1,1,1.0,360,2.951661831446711e-09,0.8696275173466949,1.0,1.5,0.1,360,5000.0,15848931.924611142,11,158489.3192461114,101
360,360,101,0.1,1,1.0,360,4.931610637609249e-09,0.7605303963984826,1.0,1.5,0.1,360,5000.0,25118864.315095823,12,251188.64315095823,101
360,360,101,0.1,1,1.0,360,6.00996245867395e-09,0.6079075586248955,1.0,1.5,0.1,360,5000.0,39810717.05534969,13,398107.1705534969,101
360,360,101,0.1,1,1.0,360,5.23112874661588e-09,0.4538878322864556,1.0,1.5,0.1,360,5000.0,63095734.44801943,14,630957.3444801943,101
360,360,101,0.1,1,1.0,360,3.5037573639004777e-09,0.33609947144699703,1.0,1.5,0.1,360,5000.0,100000000.0,15,1000000.0,101
360,360,101,1.0,1,1.0,540,1.425800394400384e-10,0.37035613065946715,1.5,1.5,0.1,540,5000.0,100000.0,0,1000.0,152
360,360,101,1.0,1,1.0,540,2.2690548343541108e-10,0.3688536524850845,1.5,1.5,0.1,540,5000.0,158489.3192461114,1,1584.893192461114,152
360,360,101,1.0,1,1.0,540,3.633122959619109e-10,0.3650959459360543,1.5,1.5,0.1,540,5000.0,251188.6431509582,2,2511.886431509582,152
360,360,101,1.0,1,1.0,540,5.9000467114504e-10,0.35611731011034997,1.5,1.5,0.1,540,5000.0,398107.1705534969,3,3981.071705534969,152
