dphires,force_n,relative_error,resolution,rhores,scan_type,velocity_cm_s,velocity_index,velocity_m_s,vres
1000,1.3806900138822295e-13,0.0009793258392960876,100,100,rhores,1000000.0,5,10000.0,1000
1000,9.559945395904718e-14,0.0007156846691363192,100,100,rhores,1584893.1924611141,6,15848.93192461114,1000
1000,4.18619994532949e-14,0.0004358909453725067,100,100,rhores,2511886.4315095823,7,25118.864315095823,1000
1000,1.7661341582351114e-14,0.00033539856539851256,100,100,rhores,3981071.705534969,8,39810.71705534969,1000
1000,7.783922929852188e-15,0.0002867191338353557,100,100,rhores,6309573.444801929,9,63095.73444801929,1000
1000,3.450047182163525e-15,0.00025243842970990607,100,100,rhores,10000000.0,10,100000.0,1000
1000,1.5222029088091703e-15,0.0002260278010554023,100,100,rhores,15848931.924611142,11,158489.3192461114,1000
1000,6.668524285898068e-16,0.00020478003998167826,100,100,rhores,25118864.315095823,12,251188.64315095823,1000
1000,2.9003778277177587e-16,0.0001872168716452482,100,100,rhores,39810717.05534969,13,398107.1705534969,1000
1000,1.2533591279490197e-16,0.00017240127324504972,100,100,rhores,63095734.44801943,14,630957.3444801943,1000
1000,5.3875461847502876e-17,0.0001596643952187718,100,100,rhores,100000000.0,15,1000000.0,1000
1000,2.6599509738053493e-14,0.00012280138105624078,300,300,rhores,100000.0,0,1000.0,1000
1000,4.1709929100793054e-14,0.0001224341425209416,300,300,rhores,158489.3192461114,1,1584.893192461114,1000
1000,6.436295787317137e-14,0.0001215141482489017,300,300,rhores,251188.6431509582,2,2511.886431509582,1000
1000,9.54382066213113e-14,0.00011921980775096205,300,300,rhores,398107.1705534969,3,3981.071705534969,1000
1000,1.284074310941645e-13,0.00011356864744636137,300,300,rhores,630957.344480193,4,6309.57344480193,1000
1000,1.3794773938853716e-13,0.00010019472749712139,300,300,rhores,1000000.0,5,10000.0,1000
1000,9.553807693423355e-14,7.320242822693257e-05,300,300,rhores,1584893.1924611141,6,15848.93192461114,1000
1000,4.1845625113276127e-14,4.4569994169538495e-05,300,300,rhores,2511886.4315095823,7,25118.864315095823,1000
1000,1.765602544045628e-14,3.429318807471062e-05,300,300,rhores,3981071.705534969,8,39810.71705534969,1000
1000,7.781919896597423e-15,2.9315819236641985e-05,300,300,rhores,6309573.444801929,9,63095.73444801929,1000
1000,3.449265503166383e-15,2.5810710818718612e-05,300,300,rhores,10000000.0,10,100000.0,1000
1000,1.52189409694843e-15,2.3110266856408147e-05,300,300,rhores,15848931.924611142,11,158489.3192461114,1000
1000,6.6672985793044325e-16,2.0937627279712703e-05,300,300,rhores,25118864.315095823,12,251188.64315095823,1000
1000,2.8998904368816946e-16,1.914149912201802e-05,300,300,rhores,39810717.05534969,13,398107.1705534969,1000
1000,1.2531651723690426e-16,1.7625986704859492e-05,300,300,rhores,63095734.44801943,14,630957.3444801943,1000
