dphires,force_n,relative_error,rhomax_fraction,rhores,test_type,test_value,velocity_cm_s,velocity_index,vres
300,1.4188173692811613e-16,0.9941709874025616,14.634914460314024,300,bmax_over_screening_length,10.0,63095734.44801943,14,100
300,7.001383296778354e-17,0.9988496008106387,14.634914460314024,300,bmax_over_screening_length,10.0,100000000.0,15,100
300,3.9762656504168963e-14,1.686222533191994e-05,146.34914460314025,300,bmax_over_screening_length,100.0,100000.0,0,100
300,6.227808681865612e-14,1.7151667070506308e-05,146.34914460314025,300,bmax_over_screening_length,100.0,158489.3192461114,1,100
300,9.582155649085407e-14,1.7896881954369504e-05,146.34914460314025,300,bmax_over_screening_length,100.0,251188.6431509582,2,100
300,1.410492041783406e-13,1.9873062957299046e-05,146.34914460314025,300,bmax_over_screening_length,100.0,398107.1705534969,3,100
300,1.8635498704490752e-13,2.560495813670684e-05,146.34914460314025,300,bmax_over_screening_length,100.0,630957.344480193,4,100
300,1.9158713542253966e-13,4.580326645866065e-05,146.34914460314025,300,bmax_over_screening_length,100.0,1000000.0,5,100
300,1.2093865406819728e-13,0.0001489560508778557,146.34914460314025,300,bmax_over_screening_length,100.0,1584893.1924611141,6,100
300,4.786510374016808e-14,0.0008535522303161282,146.34914460314025,300,bmax_over_screening_length,100.0,2511886.4315095823,7,100
300,1.9547587016116423e-14,0.0050040132331886245,146.34914460314025,300,bmax_over_screening_length,100.0,3981071.705534969,8,100
300,8.497604048873477e-15,0.027749486284806644,146.34914460314025,300,bmax_over_screening_length,100.0,6309573.444801929,9,100
300,3.738971198657089e-15,0.1392356545094421,146.34914460314025,300,bmax_over_screening_length,100.0,10000000.0,10,100
300,1.6551196306852502e-15,0.4778568345762974,146.34914460314025,300,bmax_over_screening_length,100.0,15848931.924611142,11,100
300,7.579074001280103e-16,0.8337040892661258,146.34914460314025,300,bmax_over_screening_length,100.0,25118864.315095823,12,100
300,4.133597220829617e-16,0.9584587623009931,146.34914460314025,300,bmax_over_screening_length,100.0,39810717.05534969,13,100
300,3.8409061355639597e-16,0.9842201746789131,146.34914460314025,300,bmax_over_screening_length,100.0,63095734.44801943,14,100
300,6.742739841666483e-16,0.9889209858693253,146.34914460314025,300,bmax_over_screening_length,100.0,100000000.0,15,100
300,3.9763327002348824e-14,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,100000.0,0,100
300,6.227915500998829e-14,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,158489.3192461114,1,100
300,9.582327142863131e-14,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,251188.6431509582,2,100
300,1.410520073137622e-13,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,398107.1705534969,3,100
300,1.8635975877872941e-13,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,630957.344480193,4,100
300,1.9159591114111005e-13,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,1000000.0,5,100
300,1.209566712962809e-13,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,1584893.1924611141,6,100
300,4.790599400819929e-14,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,2511886.4315095823,7,100
300,1.9645895336357395e-14,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,3981071.705534969,8,100
300,8.74013839951822e-15,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,6309573.444801929,9,100
300,4.3437802904419945e-15,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,10000000.0,10,100
300,3.169857886279471e-15,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,15848931.924611142,11,100
300,4.557582906178016e-15,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,25118864.315095823,12,100
300,9.950587536125433e-15,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,39810717.05534969,13,100
300,2.4340612506218916e-14,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,63095734.44801943,14,100
300,6.0860467927356e-14,0.0,1463.4914460314023,300,bmax_over_screening_length,1000.0,100000000.0,15,100
300,3.9826316120781824e-14,0.0015841008079952575,14634.914460314025,300,bmax_over_screening_length,10000.0,100000.0,0,100
300,6.237957403927539e-14,0.0016124019227780869,14634.914460314025,300,bmax_over_screening_length,10000.0,158489.3192461114,1,100
300,9.59847611157027e-14,0.0016852867227734913,14634.914460314025,300,bmax_over_screening_length,10000.0,251188.6431509582,2,100
300,1.4131699747712408e-13,0.0018786699204671243,14634.914460314025,300,bmax_over_screening_length,10000.0,398107.1705534969,3,100
300,1.8681454518671297e-13,0.002440368086779622,14634.914460314025,300,bmax_over_screening_length,10000.0,630957.344480193,4,100
300,1.924438404751816e-13,0.004425612890282626,14634.914460314025,300,bmax_over_screening_length,10000.0,1000000.0,5,100
300,1.2272461736470688e-13,0.014616358481752767,14634.914460314025,300,bmax_over_screening_length,10000.0,1584893.1924611141,6,100
300,5.1960486716072054e-14,0.08463435091606328,14634.914460314025,300,bmax_over_screening_length,10000.0,2511886.4315095823,7,100
300,2.9441873195948274e-14,0.49862720389546683,14634.914460314025,300,bmax_over_screening_length,10000.0,3981071.705534969,8,100
300,3.295572309254219e-14,2.770617990941516,14634.914460314025,300,bmax_over_screening_length,10000.0,6309573.444801929,9,100
300,6.476441681124481e-14,13.909689827948181,14634.914460314025,300,bmax_over_screening_length,10000.0,10000000.0,10,100
300,1.5454243116097805e-13,47.75374124180935,14634.914460314025,300,bmax_over_screening_length,10000.0,15848931.924611142,11,100
300,3.845073719769259e-13,83.36651178757675,14634.914460314025,300,bmax_over_screening_length,10000.0,25118864.315095823,12,100
300,9.641039201099273e-13,95.8891451494462,14634.914460314025,300,bmax_over_screening_length,10000.0,39810717.05534969,13,100
300,2.4207821498187054e-12,98.45444672767402,14634.914460314025,300,bmax_over_screening_length,10000.0,63095734.44801943,14,100
300,6.08011112745568e-12,98.90247092271775,14634.914460314025,300,bmax_over_screening_length,10000.0,100000000.0,15,100
30,2.6606555428946132e-14,0.0002692601488026932,1.0,300,dphires,30.0,100000.0,0,100
30,4.1721117775084275e-14,0.00027180693117115676,1.0,300,dphires,30.0,158489.3192461114,1,100
30,6.43808687645797e-14,0.0002782836452930673,1.0,300,dphires,30.0,251188.6431509582,2,100
30,9.546605215316026e-14,0.000294994651837433,1.0,300,dphires,30.0,398107.1705534969,3,100
30,1.2845079536366439e-13,0.00034005082838234926,1.0,300,dphires,30.0,630957.344480193,4,100
30,1.3801248425786555e-13,0.00047338446230722286,1.0,300,dphires,30.0,1000000.0,5,100
30,9.562671834742736e-14,0.0009357007112672641,1.0,300,dphires,30.0,1584893.1924611141,6,100
30,4.195203189957243e-14,0.002542189165491285,1.0,300,dphires,30.0,2511886.4315095823,7,100
30,1.7770531848983875e-14,0.0064847427871821415,1.0,300,dphires,30.0,3981071.705534969,8,100
30,7.900683862243926e-15,0.015261126367004675,1.0,300,dphires,30.0,6309573.444801929,9,100
30,3.571423145120275e-15,0.03541521832133753,1.0,300,dphires,30.0,10000000.0,10,100
30,1.649128959294878e-15,0.08360264466611382,1.0,300,dphires,30.0,15848931.924611142,11,100
30,8.050997622995098e-16,0.2075348368852758,1.0,300,dphires,30.0,25118864.315095823,12,100
30,4.555805920179942e-16,0.5710264654709994,1.0,300,dphires,30.0,39810717.05534969,13,100
30,3.5894519242679284e-16,1.86430790547597,1.0,300,dphires,30.0,63095734.44801943,14,100
30,4.582451614345723e-16,7.506854548567066,1.0,300,dphires,30.0,100000000.0,15,100
100,2.6600032862161733e-14,2.404527801172123e-05,1.0,300,dphires,100.0,100000.0,0,100
100,4.1710793179785006e-14,2.4272777088630054e-05,1.0,300,dphires,100.0,158489.3192461114,1,100
100,6.436455711103343e-14,2.485132718721046e-05,1.0,300,dphires,100.0,251188.6431509582,2,100
100,9.54404127065052e-14,2.634407316310045e-05,1.0,300,dphires,100.0,398107.1705534969,3,100
100,1.2841102997173115e-13,3.0368711778201047e-05,1.0,300,dphires,100.0,630957.344480193,4,100
100,1.3795301430219747e-13,4.227775380184965e-05,1.0,300,dphires,100.0,1000000.0,5,100
100,9.554530687324237e-14,8.355758257357048e-05,1.0,300,dphires,100.0,1584893.1924611141,6,100
100,4.185514370211767e-14,0.00022681846275354858,1.0,300,dphires,100.0,2511886.4315095823,7,100
