at_lower_bound,at_upper_bound,best_bmax_over_aH,best_bmax_over_debye_length,condition,converged,data_acceleration_cm_s2,data_acceleration_sigma_cm_s2,log_residual,method,model_acceleration_cm_s2,resolution_rhores_dphires,source,velocity_cm_s,vres
False,False,2.79801329662039,0.5958795324066443,2,True,1.9407840690546456e+16,15471296603225.176,-7.105427357601002e-15,vectorized,1.9407840690546324e+16,360,"theory\dataprocessing\output_dais\results.npy[2,9,12]",15836697.1794279,101
False,False,3.380774419243568,0.7199873862445465,2,True,1.9608352538985416e+16,15630050725469.555,7.105427357601002e-15,vectorized,1.9608352538985524e+16,360,"theory\dataprocessing\output_dais\results.npy[2,9,0]",16000313.806091676,101
False,False,1.6237116183404408,nan,3,True,2.335275261985042e+18,1.1418512686926354e+16,-4.831690603168681e-13,vectorized,2.335275261983917e+18,360,"theory\dataprocessing\output\results.npy[3,29,19]",113991.22127280009,101
False,False,1.6235623953774794,nan,3,True,3.106595521938056e+18,1.34166595508659e+16,-4.760636329592671e-13,vectorized,3.106595521936584e+18,360,"theory\dataprocessing\output\results.npy[3,29,13]",151641.4888261678,101
False,False,1.5664070400745647,nan,3,True,7.351287477055722e+18,1.1989740921100094e+16,-5.684341886080802e-14,vectorized,7.351287477055329e+18,360,"theory\dataprocessing\output\results.npy[3,34,18]",374350.3431764624,101
False,False,1.5660518132058256,nan,3,True,1.1684765359510129e+19,1.6165371172448816e+16,-4.973799150320701e-14,vectorized,1.1684765359509522e+19,360,"theory\dataprocessing\output\results.npy[3,34,6]",595024.468288237,101
False,False,1.5658137447711762,nan,3,True,1.4731544787570141e+19,1.9717207138195504e+16,-8.526512829121202e-14,vectorized,1.4731544787568833e+19,360,"theory\dataprocessing\output\results.npy[3,34,0]",750175.9200627853,101
False,False,1.562726161394786,nan,3,True,2.4707924673285226e+19,4.240270443185066e+16,-1.4210854715202004e-13,vectorized,2.4707924673281647e+19,360,"theory\dataprocessing\output\results.npy[3,37,3]",1259986.5900935603,101
False,False,1.562431906886759,nan,3,True,2.717954040037281e+19,4.6257207895440776e+16,-1.7763568394002505e-13,vectorized,2.717954040036799e+19,360,"theory\dataprocessing\output\results.npy[3,37,0]",1386027.2314332938,101
False,False,1.7113732913763589,nan,3,True,6.726156734001795e+19,1.2824716024177464e+17,1.4210854715202004e-14,vectorized,6.726156734001889e+19,360,"theory\dataprocessing\output\results.npy[3,42,8]",3118078.5401176675,101
False,False,1.9159134378716831,nan,3,True,1.3906310574668744e+20,1.0065615692266958e+17,-1.4210854715202004e-14,vectorized,1.3906310574668628e+20,360,"theory\dataprocessing\output\results.npy[3,45,0]",6563051.588720961,101
False,False,2.0602597178128104,nan,3,True,1.689546483119331e+20,2.8489472339243715e+17,1.6186163520615082e-11,vectorized,1.6895464831466806e+20,360,"theory\dataprocessing\output\results.npy[3,47,0]",9651815.419116085,101
False,False,1.7416725528995836,nan,3,True,1.559099714554278e+20,1.8652138894661466e+17,7.105427357601002e-15,vectorized,1.5590997145542826e+20,360,"theory\dataprocessing\output\results.npy[3,49,6]",13676985.505468141,101
False,False,2.010808992341522,nan,3,True,1.4825818940670493e+20,1.0589665302544397e+17,2.5934809855243657e-12,vectorized,1.4825818940708966e+20,360,"theory\dataprocessing\output\results.npy[3,50,0]",17005432.29886286,101
False,False,1.448494942484285,nan,3,True,8.530915763864756e+19,6.050196246058164e+16,-7.105427357601002e-15,vectorized,8.530915763864714e+19,360,"theory\dataprocessing\output\results.npy[3,53,19]",30280324.58654502,101
False,False,1.9425889969651813,nan,3,True,8.729626621252855e+19,6.189306937410417e+16,7.815970093361102e-14,vectorized,8.729626621253501e+19,360,"theory\dataprocessing\output\results.npy[3,53,0]",30985645.026593115,101
False,False,2.5474976485983714,nan,3,True,2.3557446109798806e+19,1.0510168202226254e+16,1.7053025658242404e-13,vectorized,2.35574461098029e+19,360,"theory\dataprocessing\output\results.npy[3,58,13]",81767348.80264834,101
False,False,3.634443048165133,nan,3,True,2.361959027449078e+19,1.053785583333564e+16,1.2079226507921703e-13,vectorized,2.3619590274493624e+19,360,"theory\dataprocessing\output\results.npy[3,58,0]",81983049.75625487,101
